Year,Month,BAA10Y
2023,1,1.9705000000000000
2023,2,1.8473684210526316
2023,3,2.0513043478260870
2023,4,2.0694736842105263
2023,5,2.1927272727272727
2023,6,2.0061904761904762
2023,7,1.8420000000000000
2023,8,1.8495652173913043
2023,9,1.7770000000000000
2023,10,1.8314285714285714
2023,11,1.7890476190476190
2023,12,1.6220000000000000
